dataset_name,estimator_name,estimator_kwargs,error_mean,error_std,error_best,num_params,speed,best_args,individual_trials,threshold_method
online_shoppers,ttml_xgb,8-157,1.7740805371162223,0.330125936088088,0.9450913135617791,41608,444832.28271620575,,"[1.6664118103604262, 1.86279023620565, 2.1479005926258647, 1.9972602824331236, 1.9767894192063038, 2.0375479672307275, 1.578926314130524, 1.9438998967431564, 1.9526361569641764, 0.9450913135617791, 1.3306528247219924, 1.8490596312109446]",data
census_income,ttml_mlp2,19-11,5.778118683816545,1.615514555519683,2.1995738270442335,19415,54239.10031143473,,"[6.8654257086201085, 7.599981981838904, 6.357995814371529, 4.344297816617292, 2.1995738270442335, 6.520747455853319, 7.486037640073476, 4.046983194353177, 5.54002528004609, 6.581206934513795, 7.38479460743355, 4.410353945033061]",data
gas_turbine,ttml_rf,6-84,1.7901106106704192,0.16658773087362483,1.5980808365398362,24552,820657.8497370414,,"[1.7266150701864145, 1.5980808365398362, 1.6322619096629933, 1.6491203911530345, 2.109934032981862, 2.1164660474247765, 1.6658244934767563, 1.7514441038274375, 1.7008439604359764, 1.7856617505724848, 1.8714429896617093, 1.8736317421217479]",data
online_shoppers,ttml_xgb,3-54,0.95177136503565,0.24540307373551265,0.7157240084045018,2653,1144678.4835068665,,"[1.2570679494634938, 0.7575187525895476, 1.6157139644526408, 0.7754642787521907, 0.8634899387550921, 1.0417453979007743, 0.7157240084045018, 0.9371673862259018, 0.8860207612749961, 0.7527311607403221, 0.894128828073404, 0.9244839537949352]",data
default_credit_card,ttml_mlp1,13-145,3.767135170606513,2.9926955268744595,1.239053018002813,233844,89162.4767537662,,"[2.0009040287635282, 1.239053018002813, 4.889847782026011, 5.416870189195703, 2.015325403039364, 3.4085639703651123, 2.1986020951113048, 2.710696387859482, 1.779228241605899, 3.499734817968457, 3.1781301049860318, 12.86866600835445]",data
power_plant,ttml_mlp2,15-180,12.581968551525506,1.3227016990090565,10.959782535063587,86400,653823.5583584183,,"[11.687866932582859, 11.679103292090568, 11.834038073029822, 13.855087346284158, 12.312025288965144, 10.959782535063587, 14.896645313733053, 15.375264541511367, 12.103487310044468, 11.83804553244126, 12.603441721313015, 11.838834731246784]",data
online_shoppers,ttml_xgb,8-64,1.9760326344036363,0.2864924083484897,1.439296301601133,20816,508535.8537115618,,"[1.439296301601133, 2.1145791057704844, 2.1848894612693623, 2.172979204604842, 1.8355906081644906, 2.292949751405243, 2.097028646168241, 1.671956767751465, 1.856895548880145, 2.079925335686154, 1.5690892104033907, 2.3972116711386815]",data
bank_marketing,ttml_mlp1,4-47,0.2941433935163862,0.05188680174851224,0.2029077876737834,3268,924269.5237633565,,"[0.3103016392158724, 0.32244667196546734, 0.21416877091812428, 0.365700119667929, 0.26965910058558396, 0.34078277877640734, 0.30951952925506443, 0.2964498190253671, 0.3680260043790472, 0.2895429731135428, 0.2029077876737834, 0.24021552762044482]",data
online_shoppers,ttml_rf,16-109,1.3410330627684477,0.6062357302938776,0.43179689052334064,121481,89791.21542199152,,"[1.1554632450377034, 1.5847308996541294, 0.9190221133187981, 1.9546441880156475, 0.7044106144010771, 0.7170851738386277, 2.154138753644087, 1.1434592186266752, 2.537534213119488, 0.43179689052334064, 1.35706383116727, 1.4330476118745288]",data
census_income,ttml_mlp1,21-30,1.2493709538121103,0.32547524898996616,0.796143277235545,43138,84691.88115737333,,"[1.1429219815177938, 1.7445839157883425, 1.6775655490991699, 0.796143277235545, 1.0632025033245835, 0.9367310356073484, 1.0296063490526062, 1.084831622965092, 1.6313176127944289, 1.383005204118282, 1.6078912922338686, 0.8946511020082637]",data
ai4i2020,ttml_xgb,19-169,0.22588702474665898,0.1545535871053819,0.09970483471993051,152408,406990.637237369,,"[0.1724044139742818, 0.11695878777075164, 0.1387311659326011, 0.5541049822847337, 0.12535411791256063, 0.5706689209654378, 0.09970483471993051, 0.21070645665159668, 0.1704019833057356, 0.18998667280491252, 0.219720316625998, 0.14190164401136754]",data
gas_turbine,ttml_mlp2,11-158,4.579846109887482,2.6336114196581146,2.527845948642528,148313,316687.2297784934,,"[10.380939970935954, 3.734508326397219, 4.015730491944865, 3.6795930362548703, 3.8508028140073107, 2.5365838961168534, 2.527845948642528, 3.4640514741655664, 3.4232458366399388, 4.484310954937999, 2.59765864232977, 10.26288192627692]",data
ai4i2020,ttml_xgb,14-39,0.44965143291916276,0.05432318367782001,0.37644036441851403,24929,785388.0334495223,,"[0.5288919794368755, 0.4511199552465517, 0.4694821637885843, 0.41835617621370585, 0.47944271783635367, 0.4118491087394137, 0.4954961753008535, 0.4417190919616261, 0.37744749300610314, 0.54905309545506, 0.3965188736263125, 0.37644036441851403]",data
online_shoppers,ttml_xgb,12-155,1.5180790301145022,0.24132479662943632,1.028780254588764,91528,245697.49746105878,,"[1.3015998314946955, 1.4597550611987142, 1.467435729443292, 1.7122079657181977, 1.028780254588764, 1.3278872075458825, 1.5262044399348946, 1.303273240953615, 1.8865307222989538, 1.6571854961738852, 1.799696247527234, 1.746392164495897]",data
ai4i2020,ttml_xgb,19-22,0.2802918042954067,0.0670756276902997,0.14852535879090017,25507,414790.323062384,,"[0.28291586958968096, 0.32902047294361314, 0.3141617327631862, 0.2612426141246498, 0.2702995375796071, 0.14852535879090017, 0.2029728980449228, 0.3785377772459638, 0.3601826891725284, 0.2102729169611334, 0.25411823418416957, 0.35125155014452475]",data
bank_marketing,ttml_mlp1,2-43,0.2980363057672185,0.07265332641266163,0.22667928231649917,846,1533281.632976209,,"[0.3152804399224306, 0.24287459373238302, 0.376115619757417, 0.2274908400479767, 0.22667928231649917, 0.2464628522910058, 0.42768877786959436, 0.2626901327435272, 0.271792047905581, 0.25602343082625023, 0.44093437353674897, 0.28240327825720835]",data
online_shoppers,ttml_xgb,4-84,3.75755194973534,0.5292738256796166,2.5783618411655977,6452,876807.8600472396,,"[3.4426404428015385, 3.8625826399132914, 4.685533489619547, 4.035676565074376, 3.978452855003868, 4.359720995997863, 3.40938467717955, 3.5071840566249985, 3.875533061863461, 4.065345224523579, 2.5783618411655977, 3.2902075470564145]",data
census_income,ttml_mlp1,21-93,3.544126544202003,1.06672161228884,1.2494436528848019,84037,80735.92562874618,,"[2.7733937883822466, 5.14737355870503, 3.3733427077431246, 3.338527409370036, 3.463654619379586, 4.3426443442646985, 4.6227353831249705, 4.736992241253034, 2.575653238737473, 2.7570780105421298, 4.148679576036907, 1.2494436528848019]",data
online_shoppers,ttml_mlp1,17-183,4.148258876315886,1.3264853953435385,1.2004391579369775,209837,113273.84479872296,,"[5.283030638160685, 3.38533108722771, 3.277530945697684, 6.092911347061942, 5.466018020721836, 3.785167342267106, 3.886334107237124, 1.2004391579369775, 5.996589005438717, 3.463315342652095, 4.226590095503159, 3.715849425885591]",data
default_credit_card,ttml_xgb,17-183,0.5863707790300902,0.22439413201169314,0.43526713675945583,490569,69286.90044815549,,"[1.0780924451921863, 0.4660826748647279, 0.4360701232331971, 0.46308783099972123, 0.929437508743199, 0.43526713675945583, 0.5123907618344452, 0.44485844505240296, 0.4543734034906278, 0.4443392060122623, 0.8943360263714131, 0.4781137858074434]",data
ai4i2020,ttml_xgb,20-142,0.5875649425709063,0.6441792670160884,0.12173119588607989,145349,365348.0252459168,,"[0.73525419933767, 1.1052859919971478, 2.3242625148868976, 0.12173119588607989, 0.2960141051354087, 0.19671390016703294, 0.21057359750784752, 0.21178439956524794, 0.22762861056012382, 1.269153117015621, 0.21465492664058927, 0.13772275215120977]",data
census_income,ttml_mlp2,11-40,3.3279055130588415,3.0559312734385995,0.6875247273336864,15073,347281.8788478445,,"[1.8908538584255499, 8.301328235651544, 0.6875247273336864, 1.7730268311329243, 1.6771719178261517, 2.332881894287309, 2.1456642871400873, 1.0907906247391188, 1.7159888313965042, 0.9483261827798019, 8.893370658767868, 8.477938107225555]",data
ai4i2020,ttml_xgb,10-114,0.34020303352323644,0.11171648703207829,0.24316908109524435,31939,1359139.1026993273,,"[0.3975451110399367, 0.2942368438064918, 0.3418699556992383, 0.2534905844584931, 0.6715981780189589, 0.24316908109524435, 0.2733775835883514, 0.35382904463721654, 0.2710479760113469, 0.3886108634003631, 0.32897350157372257, 0.26468767894947376]",data
census_income,ttml_mlp1,8-124,0.6254911912840908,0.14833956060379475,0.43230645074952967,15936,581037.4529093957,,"[0.807017615513412, 0.5931993617825384, 0.6015236552367287, 0.8731681520349556, 0.5986774118080342, 0.692786392505119, 0.4708789856903021, 0.5017751767850817, 0.5169834254063793, 0.43230645074952967, 0.5345575290013512, 0.883020138895658]",data
ai4i2020,ttml_xgb,3-192,0.3291237167559521,0.0793668787639097,0.1285501132644634,5322,2775646.0507702744,,"[0.3006357103796907, 0.3888648633278232, 0.37116164848237215, 0.1285501132644634, 0.3603643936044535, 0.2484781817717192, 0.32479771045000105, 0.4432163341003461, 0.2844652364513104, 0.3957057133766398, 0.3265599527769622, 0.3766847430856428]",data
online_shoppers,ttml_xgb,15-156,1.199535129589972,0.2824180003664141,0.546884008584372,144100,158820.4866342052,,"[1.136249003169366, 1.0382348402537354, 1.413149407382439, 0.546884008584372, 0.9883600279887852, 1.2728072563732804, 1.0666268670807808, 1.4947379069313236, 1.1813156525355921, 1.1894196263503831, 1.7301454651583905, 1.3364914932712157]",data
default_credit_card,ttml_mlp2,17-167,8.985574030998661,4.340466312565215,2.023443624342895,455430,69486.52824181771,,"[6.681443013002903, 11.238114697659691, 9.706559400718614, 8.588731017940418, 12.648851865283014, 2.8130837649731726, 6.718375955196726, 4.28946214323081, 14.662989271688701, 14.790942772843422, 13.66489084510357, 2.023443624342895]",data
